pasar,komoditas,satuan,harga,tanggal_lengkap
Sepinggan,Cabe/Lombok Keriting,kg,50000,1/1/2024
Sepinggan,Cabe/Lombok Keriting,kg,40000,1/2/2024
Sepinggan,Cabe/Lombok Keriting,kg,40000,1/3/2024
Sepinggan,Cabe/Lombok Keriting,kg,60000,1/4/2024
Sepinggan,Cabe/Lombok Keriting,kg,60000,1/5/2024
Sepinggan,Cabe/Lombok Keriting,kg,40000,1/8/2024
Sepinggan,Cabe/Lombok Keriting,kg,60000,1/9/2024
Sepinggan,Cabe/Lombok Keriting,kg,60000,1/10/2024
Sepinggan,Cabe/Lombok Keriting,kg,55000,1/11/2024
Sepinggan,Cabe/Lombok Keriting,kg,70000,1/12/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,1/15/2024
Sepinggan,Cabe/Lombok Keriting,kg,65000,1/16/2024
Sepinggan,Cabe/Lombok Keriting,kg,65000,1/17/2024
Sepinggan,Cabe/Lombok Keriting,kg,55000,1/18/2024
Sepinggan,Cabe/Lombok Keriting,kg,55000,1/19/2024
Sepinggan,Cabe/Lombok Keriting,kg,57500,1/22/2024
Sepinggan,Cabe/Lombok Keriting,kg,60000,1/23/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,1/24/2024
Sepinggan,Cabe/Lombok Keriting,kg,65000,1/25/2024
Sepinggan,Cabe/Lombok Keriting,kg,65000,1/26/2024
Sepinggan,Cabe/Lombok Keriting,kg,40000,1/29/2024
Sepinggan,Cabe/Lombok Keriting,kg,60000,1/30/2024
Sepinggan,Cabe/Lombok Keriting,kg,50000,1/31/2024
Sepinggan,Cabe/Lombok Keriting,kg,75000,2/1/2024
Sepinggan,Cabe/Lombok Keriting,kg,40000,2/5/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,2/6/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,2/7/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,2/12/2024
Sepinggan,Cabe/Lombok Keriting,kg,55000,2/13/2024
Sepinggan,Cabe/Lombok Keriting,kg,55000,2/15/2024
Sepinggan,Cabe/Lombok Keriting,kg,60000,2/16/2024
Sepinggan,Cabe/Lombok Keriting,kg,70000,2/19/2024
Sepinggan,Cabe/Lombok Keriting,kg,70000,2/20/2024
Sepinggan,Cabe/Lombok Keriting,kg,65000,2/21/2024
Sepinggan,Cabe/Lombok Keriting,kg,60000,2/22/2024
Sepinggan,Cabe/Lombok Keriting,kg,60000,2/23/2024
Sepinggan,Cabe/Lombok Keriting,kg,70000,2/26/2024
Sepinggan,Cabe/Lombok Keriting,kg,80000,2/27/2024
Sepinggan,Cabe/Lombok Keriting,kg,75000,2/28/2024
Sepinggan,Cabe/Lombok Keriting,kg,75000,2/29/2024
Sepinggan,Cabe/Lombok Keriting,kg,70000,3/4/2024
Sepinggan,Cabe/Lombok Keriting,kg,70000,3/5/2024
Sepinggan,Cabe/Lombok Keriting,kg,65000,3/6/2024
Sepinggan,Cabe/Lombok Keriting,kg,65000,3/7/2024
Sepinggan,Cabe/Lombok Keriting,kg,65000,3/8/2024
Sepinggan,Cabe/Lombok Keriting,kg,65000,3/13/2024
Sepinggan,Cabe/Lombok Keriting,kg,65000,3/14/2024
Sepinggan,Cabe/Lombok Keriting,kg,60000,3/15/2024
Sepinggan,Cabe/Lombok Keriting,kg,60000,3/18/2024
Sepinggan,Cabe/Lombok Keriting,kg,60000,3/19/2024
Sepinggan,Cabe/Lombok Keriting,kg,50000,3/20/2024
Sepinggan,Cabe/Lombok Keriting,kg,50000,3/21/2024
Sepinggan,Cabe/Lombok Keriting,kg,40000,3/22/2024
Sepinggan,Cabe/Lombok Keriting,kg,60000,3/25/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,3/26/2024
Sepinggan,Cabe/Lombok Keriting,kg,35000,3/27/2024
Sepinggan,Cabe/Lombok Keriting,kg,50000,3/28/2024
Sepinggan,Cabe/Lombok Keriting,kg,60000,4/1/2024
Sepinggan,Cabe/Lombok Keriting,kg,50000,4/2/2024
Sepinggan,Cabe/Lombok Keriting,kg,50000,4/2/2024
Sepinggan,Cabe/Lombok Keriting,kg,50000,4/3/2024
Sepinggan,Cabe/Lombok Keriting,kg,50000,4/3/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,4/4/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,4/5/2024
Sepinggan,Cabe/Lombok Keriting,kg,60000,4/16/2024
Sepinggan,Cabe/Lombok Keriting,kg,50000,4/17/2024
Sepinggan,Cabe/Lombok Keriting,kg,65000,4/18/2024
Sepinggan,Cabe/Lombok Keriting,kg,65000,4/19/2024
Sepinggan,Cabe/Lombok Keriting,kg,57500,4/22/2024
Sepinggan,Cabe/Lombok Keriting,kg,57500,4/23/2024
Sepinggan,Cabe/Lombok Keriting,kg,57500,4/24/2024
Sepinggan,Cabe/Lombok Keriting,kg,57500,4/25/2024
Sepinggan,Cabe/Lombok Keriting,kg,57500,4/26/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,4/29/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,4/30/2024
Sepinggan,Cabe/Lombok Keriting,kg,40000,5/6/2024
Sepinggan,Cabe/Lombok Keriting,kg,40000,5/7/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,5/8/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,5/13/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,5/14/2024
Sepinggan,Cabe/Lombok Keriting,kg,42500,5/15/2024
Sepinggan,Cabe/Lombok Keriting,kg,42500,5/16/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,5/17/2024
Sepinggan,Cabe/Lombok Keriting,kg,42500,5/20/2024
Sepinggan,Cabe/Lombok Keriting,kg,42500,5/21/2024
Sepinggan,Cabe/Lombok Keriting,kg,40000,5/22/2024
Sepinggan,Cabe/Lombok Keriting,kg,40000,5/27/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,5/28/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,5/30/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,5/31/2024
Sepinggan,Cabe/Lombok Keriting,kg,40000,6/3/2024
Sepinggan,Cabe/Lombok Keriting,kg,42500,6/4/2024
Sepinggan,Cabe/Lombok Keriting,kg,55000,6/5/2024
Sepinggan,Cabe/Lombok Keriting,kg,55000,6/6/2024
Sepinggan,Cabe/Lombok Keriting,kg,55000,6/7/2024
Sepinggan,Cabe/Lombok Keriting,kg,55000,6/10/2024
Sepinggan,Cabe/Lombok Keriting,kg,65000,6/11/2024
Sepinggan,Cabe/Lombok Keriting,kg,65000,6/12/2024
Sepinggan,Cabe/Lombok Keriting,kg,65000,6/13/2024
Sepinggan,Cabe/Lombok Keriting,kg,65000,6/14/2024
Sepinggan,Cabe/Lombok Keriting,kg,70000,6/19/2024
Sepinggan,Cabe/Lombok Keriting,kg,70000,6/20/2024
Sepinggan,Cabe/Lombok Keriting,kg,70000,6/21/2024
Sepinggan,Cabe/Lombok Keriting,kg,70000,6/24/2024
Sepinggan,Cabe/Lombok Keriting,kg,70000,6/25/2024
Sepinggan,Cabe/Lombok Keriting,kg,50000,6/26/2024
Sepinggan,Cabe/Lombok Keriting,kg,50000,6/27/2024
Sepinggan,Cabe/Lombok Keriting,kg,50000,6/28/2024
Sepinggan,Cabe/Lombok Keriting,kg,40000,7/1/2024
Sepinggan,Cabe/Lombok Keriting,kg,60000,7/1/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,7/2/2024
Sepinggan,Cabe/Lombok Keriting,kg,60000,7/2/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,7/3/2024
Sepinggan,Cabe/Lombok Keriting,kg,50000,7/4/2024
Sepinggan,Cabe/Lombok Keriting,kg,50000,7/5/2024
Sepinggan,Cabe/Lombok Keriting,kg,50000,7/8/2024
Sepinggan,Cabe/Lombok Keriting,kg,55000,7/9/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,7/10/2024
Sepinggan,Cabe/Lombok Keriting,kg,52500,7/11/2024
Sepinggan,Cabe/Lombok Keriting,kg,52500,7/12/2024
Sepinggan,Cabe/Lombok Keriting,kg,50000,7/15/2024
Sepinggan,Cabe/Lombok Keriting,kg,50000,7/16/2024
Sepinggan,Cabe/Lombok Keriting,kg,50000,7/17/2024
Sepinggan,Cabe/Lombok Keriting,kg,47500,7/18/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,7/19/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,7/22/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,7/23/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,7/24/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,7/25/2024
Sepinggan,Cabe/Lombok Keriting,kg,45000,7/26/2024
Sepinggan,Cabe/Lombok Keriting,kg,40000,7/29/2024
Sepinggan,Cabe/Lombok Keriting,kg,47500,7/30/2024
Sepinggan,Cabe/Lombok Keriting,kg,37500,7/31/2024
Sepinggan,Cabe/Lombok Keriting,kg,60000,8/5/2024
Sepinggan,Cabe/Lombok Keriting,kg,60000,8/6/2024
Sepinggan,Cabe/Lombok Keriting,kg,60000,8/7/2024
Sepinggan,Cabe/Lombok Keriting,kg,40000,8/8/2024
Sepinggan,Cabe/Lombok Keriting,kg,40000,8/9/2024
Sepinggan,Cabe/Lombok Keriting,kg,40000,8/12/2024
Sepinggan,Cabe/Lombok Keriting,kg,42500,8/13/2024
Sepinggan,Cabe/Lombok Keriting,kg,55000,8/14/2024
Sepinggan,Cabe/Lombok Keriting,kg,55000,8/15/2024
Sepinggan,Cabe/Lombok Keriting,kg,55000,8/16/2024
Sepinggan,Cabe/Lombok Keriting,kg,55000,8/19/2024
Sepinggan,Cabe/Lombok Keriting,kg,55000,8/20/2024
Sepinggan,Cabe/Lombok Keriting,kg,55000,8/21/2024
Sepinggan,Cabe/Lombok Keriting,kg,50000,8/22/2024
Sepinggan,Cabe/Lombok Keriting,kg,50000,8/23/2024
Sepinggan,Cabe/Lombok Keriting,kg,60000,8/26/2024
Sepinggan,Cabe/Lombok Keriting,kg,60000,8/27/2024
Sepinggan,Cabe/Lombok Keriting,kg,50000,8/28/2024
Sepinggan,Cabe/Lombok Keriting,kg,50000,8/29/2024
Sepinggan,Cabe/Lombok Keriting,kg,42500,8/30/2024
Sepinggan,Cabe/Lombok Keriting,kg,37500,9/1/2024
Sepinggan,Cabe/Lombok Keriting,kg,35000,9/2/2024
